City_ID,City Name,Latitude,Longitude,Temperature,Cloudiness,Humidity,Wind Speed,Country
172,kargopol,61.5071,38.9456,-6.83,99,91,5.48,RU
173,guerrero negro,27.9769,-114.0611,58.32,72,68,18.21,MX
174,atbasar,51.8,68.3333,14.56,100,96,7.87,KZ
175,caravelas,-17.7125,-39.2481,74.14,100,90,4.27,BR
176,harper,4.375,-7.7169,79.02,63,87,9.31,LR
177,port shepstone,-30.7414,30.455,72.03,25,45,6.04,ZA
178,laguna,38.421,-121.4238,48.99,90,81,4.61,US
179,leshukonskoye,64.8989,45.7622,-10.39,84,90,3.38,RU
180,kidal,18.4411,1.4078,73.17,0,18,7.99,ML
181,pisco,-13.7,-76.2167,73.4,0,78,3.44,PE
182,jashpurnagar,22.9,84.15,85.5,7,15,5.48,IN
183,bardiyah,31.7561,25.0865,60.6,0,75,15.01,LY
184,serenje,-13.2325,30.2352,60.91,100,99,3.71,ZM
185,georgetown,5.4112,100.3354,93.2,20,31,13.8,MY
186,east london,-33.0153,27.9116,73.4,0,46,4.61,ZA
187,rocha,-34.4833,-54.3333,59.14,7,91,2.98,UY
188,lagoa,39.05,-27.9833,59.76,100,91,23.91,PT
189,kotdwara,29.75,78.5333,71.6,51,56,3.13,IN
190,erzin,36.9559,36.2,51.01,50,88,8.99,TR
191,ban nahin,18.2418,104.2122,90.0,100,50,1.61,LA
192,smithers,54.7804,-127.1743,35.6,20,55,18.41,CA
193,provideniya,64.3833,-173.3,-11.2,16,84,20.13,RU
194,simao,22.7886,100.9748,77.83,0,23,8.48,CN
195,broome,42.2506,-75.833,35.6,1,69,4.61,US
196,pevek,69.7008,170.3133,-10.32,100,85,9.73,RU
197,tautira,-17.7333,-149.15,84.0,75,74,9.22,PF
198,bilibino,68.0546,166.4372,-12.3,100,85,2.89,RU
199,athabasca,54.7169,-113.2854,30.2,94,93,2.3,CA
200,bentong,3.5181,101.9079,89.6,20,43,5.75,MY
201,gamba,-2.65,10.0,78.37,96,91,10.0,GA
202,katsuura,35.1333,140.3,66.2,20,36,14.97,JP
203,baghdad,33.3406,44.4009,51.8,0,62,2.3,IQ
204,iqaluit,63.7506,-68.5145,8.6,90,78,3.44,CA
205,nikolskoye,59.7035,30.7861,-2.99,0,71,6.71,RU
206,constitucion,-35.3333,-72.4167,56.46,76,76,5.77,CL
207,onega,63.9061,38.1404,2.26,100,94,7.29,RU
208,klenovyy,48.1193,39.4588,21.61,97,93,7.67,UA
209,dawei,14.0833,98.2,92.68,46,41,4.92,MM
210,belmonte,-15.8631,-38.8828,75.2,0,78,4.61,BR
211,kardamaina,36.7814,27.1425,55.4,20,76,12.35,GR
212,akola,20.7333,77.0,88.38,0,15,2.95,IN
213,bathsheba,13.2167,-59.5167,77.0,40,65,25.32,BB
214,katiola,8.1333,-5.1,71.6,20,94,4.61,CI
215,saint-pierre,-21.3393,55.4781,82.99,75,57,4.61,RE
216,tingi,-11.3,35.0333,64.22,100,90,2.64,TZ
217,tazovskiy,67.4667,78.7,-18.51,98,88,6.31,RU
218,vrangel,42.7297,133.0839,36.72,0,70,11.05,RU
219,tommot,58.9564,126.2925,18.57,100,89,16.6,RU
220,ambon,-3.6954,128.1814,89.6,40,62,9.22,ID
221,tansen,27.8673,83.5467,76.08,0,19,2.82,NP
222,olinda,-8.0089,-34.8553,78.8,40,73,4.61,BR
223,airai,-8.9266,125.4092,71.08,83,89,2.24,TL
224,qeshm,26.9581,56.2719,69.8,20,88,2.3,IR
225,ahuimanu,21.4447,-157.8378,73.4,40,78,10.65,US
226,wanning,18.8003,110.3967,78.35,85,72,9.91,CN
227,alofi,-19.0595,-169.9187,78.8,40,73,8.05,NU
228,mulege,26.8833,-111.9833,63.66,100,49,0.96,MX
229,new waterford,40.8451,-80.6145,51.8,1,46,4.61,US
230,brae,60.3964,-1.353,44.6,90,87,29.93,GB
231,mao,39.8885,4.2658,48.2,40,81,5.75,ES
232,cidreira,-30.1811,-50.2056,68.18,0,78,0.47,BR
233,siguiri,11.6667,-9.5,75.51,26,21,1.41,GN
234,kargasok,59.0556,80.8572,17.94,92,96,8.97,RU
235,muros,42.7762,-9.0603,39.99,90,89,5.12,ES
236,tairua,-37.0167,175.85,72.0,100,58,5.01,NZ
237,half moon bay,37.4636,-122.4286,48.2,90,93,11.5,US
238,tuktoyaktuk,69.4541,-133.0374,3.2,75,72,17.27,CA
239,yulara,-25.2406,130.9889,96.8,0,32,10.36,AU
240,sanmenxia,34.7747,111.1814,54.88,100,54,13.29,CN
241,marondera,-18.1853,31.5519,55.38,0,100,3.83,ZW
242,vila,42.0304,-8.1588,46.99,0,87,8.05,PT
243,matadi,-5.8167,13.45,75.47,92,90,1.36,CD
244,hargeysa,9.56,44.065,63.95,0,75,7.85,SO
245,adrar,20.5022,-10.0711,56.71,72,43,14.79,MR
246,nakhon phanom,17.3333,104.4167,91.99,0,51,9.22,TH
247,sumenep,-7.0167,113.8667,85.06,70,70,11.21,ID
248,bosobolo,4.1833,19.9,73.98,73,63,2.48,CD
249,gat,31.61,34.7642,63.0,83,43,1.99,IL
250,timizart,36.8,4.2667,44.64,3,83,4.68,DZ
251,kamenka,51.3223,42.7678,-2.79,82,93,8.93,RU
252,college,64.8569,-147.8028,25.0,75,74,3.44,US
253,pointe michel,15.25,-61.3833,77.09,82,75,14.32,DM
254,norman wells,65.282,-126.8329,-2.2,20,71,5.75,CA
255,soyo,-6.1349,12.3689,78.75,100,86,5.61,AO
256,mar del plata,-38.0023,-57.5575,66.99,40,77,5.75,AR
257,dauriya,49.9333,116.8667,24.67,0,95,9.22,RU
258,shenjiamen,29.9576,122.298,52.95,0,68,9.51,CN
259,imbituba,-28.24,-48.6703,68.0,0,83,5.75,BR
260,thunder bay,48.4001,-89.3168,42.8,90,70,5.3,CA
261,namtsy,62.7161,129.6658,17.6,75,79,6.71,RU
262,linxia,35.6003,103.2064,48.97,100,48,4.99,CN
263,rupert,42.6191,-113.6772,33.8,1,60,3.44,US
264,ko samui,9.5357,99.9357,87.8,20,62,11.5,TH
265,mount isa,-20.7333,139.5,96.8,45,28,8.05,AU
266,kyren,51.6828,102.1408,31.41,52,88,1.14,RU
267,biu,10.6129,12.1946,73.15,0,18,3.13,NG
268,ust-maya,60.4167,134.5333,16.29,100,93,9.22,RU
269,lazaro cardenas,17.9583,-102.2,72.93,0,86,2.89,MX
270,bequimao,-2.4489,-44.7825,78.8,40,94,3.44,BR
271,kahului,20.8947,-156.47,71.6,90,83,3.44,US
272,cariati,39.4922,16.9594,55.0,75,81,9.22,IT
273,manggar,-2.8833,108.2667,84.65,100,67,8.99,ID
274,kings mountain,35.2451,-81.3412,53.6,1,37,4.61,US
275,tabou,4.423,-7.3528,78.37,85,89,8.19,CI
276,tokonou,9.65,-9.7833,74.17,42,78,4.29,GN
277,dongsheng,39.8161,109.9776,47.88,100,50,17.18,CN
278,necochea,-38.5473,-58.7368,57.0,1,90,7.0,AR
279,te anau,-45.4167,167.7167,56.53,35,84,7.29,NZ
280,sangar,63.9242,127.4739,4.41,100,94,11.97,RU
281,lieksa,63.3167,30.0167,-4.25,48,88,4.03,FI
282,khlung,12.4547,102.2214,91.0,40,79,3.44,TH
283,hutchinson,38.0608,-97.9298,64.4,1,63,31.07,US
284,lata,40.1629,-8.3327,48.99,26,86,1.1,PT
285,belaya gora,68.5333,146.4167,-4.72,61,86,9.31,RU
286,timaru,-44.4,171.25,56.03,100,89,14.12,NZ
287,aasiaat,68.7098,-52.8699,7.12,72,92,7.05,GL
288,jian,27.1172,114.9793,56.53,100,77,3.98,CN
289,embonas,36.2269,27.8564,57.2,20,77,2.3,GR
290,geraldton,-28.7667,114.6,86.0,0,54,11.5,AU
291,atar,20.5169,-13.0499,58.1,97,44,12.08,MR
292,coracao de jesus,-16.6853,-44.365,67.23,100,96,3.98,BR
293,andenes,69.3143,16.1194,24.01,100,68,12.66,NO
294,washington,47.5001,-120.5015,41.0,64,63,5.99,US
295,sitka,57.0531,-135.33,37.4,90,70,8.05,US
296,pangnirtung,66.1451,-65.7125,1.4,90,85,13.8,CA
297,fortuna,40.5982,-124.1573,44.01,90,93,3.44,US
298,naze,28.3667,129.4833,68.0,20,56,14.97,JP
299,eydhafushi,5.1033,73.0708,84.11,87,71,11.3,MV
300,bengkulu,-3.8004,102.2655,84.6,26,64,5.75,ID
301,mount gambier,-37.8333,140.7667,75.2,81,43,4.61,AU
302,tezu,27.9167,96.1667,76.39,56,34,2.19,IN
303,shaoyang,27.2315,111.4525,49.95,100,91,1.61,CN
304,karasburg,-28.0167,18.75,58.87,0,50,6.15,NA
305,luanda,-8.8368,13.2343,80.6,40,83,3.44,AO
306,anakapalle,17.6833,83.0167,82.4,20,74,8.05,IN
307,goderich,43.7501,-81.7165,41.0,48,65,12.66,CA
308,karpogory,64.0019,44.4451,-10.55,100,91,3.62,RU
309,isangel,-19.55,169.2667,84.2,75,70,8.05,VU
310,christchurch,-43.5333,172.6333,64.99,75,82,9.22,NZ
311,sedro-woolley,48.5039,-122.2361,43.0,90,75,2.86,US
312,mweka,-4.85,21.5667,67.03,65,94,2.57,CD
313,lakeland highlands,27.9597,-81.9501,62.01,75,72,7.47,US
314,buala,-8.145,159.5921,83.26,68,75,0.43,SB
315,saint-augustin,51.226,-58.6502,19.53,73,95,9.4,CA
316,san andres,12.5847,-81.7006,80.6,40,78,14.97,CO
317,teguise,29.0605,-13.564,62.6,75,59,18.41,ES
318,gashua,12.871,11.0482,70.09,0,19,4.72,NG
319,paka,4.6374,103.4368,84.0,40,74,8.05,MY
320,saskylakh,71.9167,114.0833,-22.74,89,83,14.99,RU
321,lompoc,34.6391,-120.4579,46.4,1,76,3.44,US
